inventory_id,product_id,stock,last_updated
1,1644,232,2023-06-29 07:30
2,669,347,2023-08-20 03:12
3,771,536,2023-05-12 13:50
4,168,900,2023-02-01 08:58
5,4564,60,2023-07-11 08:40
6,783,172,2023-01-01 19:00
7,4335,12,2023-01-03 11:53
8,2678,393,2023-06-06 18:21
9,227,819,2023-07-11 00:43
10,569,978,2023-03-30 03:35
11,1545,651,2023-09-13 10:44
12,1490,548,2023-04-22 10:25
13,2829,99,2023-03-21 02:11
14,4913,383,2023-04-01 13:24
15,3611,723,2023-04-01 06:20
16,4157,152,2023-08-16 22:39
17,249,637,2023-01-20 20:51
18,4404,909,2023-03-03 08:12
19,2554,957,2023-05-30 19:58
20,883,357,2023-04-03 01:15
21,4835,530,2023-03-27 14:31
22,817,509,2023-04-09 01:00
23,4944,158,2023-06-22 14:38
24,3725,950,2023-07-19 05:57
25,3670,966,2023-03-01 08:31
26,4543,67,2023-06-23 15:55
27,2018,374,2023-03-14 16:48
28,1962,983,2023-09-09 11:16
29,1543,813,2023-07-26 09:49
30,341,366,2023-01-31 14:43
31,3936,830,2023-02-20 22:30
32,4259,93,2023-06-14 07:05
33,4320,576,2023-09-30 07:56
34,4274,403,2023-04-13 13:26
35,2315,328,2023-03-11 13:25
36,3670,781,2023-04-12 09:41
37,2400,966,2023-08-07 16:42
38,3312,445,2023-07-13 06:21
39,675,502,2023-01-13 02:32
40,4025,106,2023-06-14 04:30
41,4598,495,2023-07-19 03:02
42,2506,509,2023-05-28 13:25
43,452,540,2023-01-22 04:13
44,1541,969,2023-02-15 20:18
45,2516,913,2023-03-30 03:32
46,2570,756,2023-01-25 10:27
47,4377,28,2023-01-25 03:45
48,2482,394,2023-04-07 18:38
49,2882,987,2023-01-27 19:38
50,3554,756,2023-09-18 18:46
51,4293,869,2023-04-02 16:40
52,4168,379,2023-01-23 05:29
53,1758,101,2023-08-23 00:23
54,1522,913,2023-04-24 22:27
55,2624,74,2023-04-15 05:16
56,4058,211,2023-01-08 04:21
57,371,944,2023-07-15 01:53
58,1688,921,2023-03-01 04:47
59,2380,4,2023-05-04 19:33
60,2710,181,2023-07-19 05:25
61,1871,380,2023-07-25 01:34
62,367,159,2023-03-14 06:32
63,4905,252,2023-05-13 08:11
64,3464,696,2023-06-08 00:01
65,1679,962,2023-05-20 06:52
66,3353,706,2023-01-06 15:37
67,3407,843,2023-07-31 19:57
68,3090,284,2023-04-08 19:19
