order_item_id,order_id,product_id,quantity,price
1,3904,4206,1,588.07
2,13004,902,8,687.37
3,12491,4145,2,81.43
4,5928,261,7,628.56
5,18553,2507,1,919.63
6,1327,1384,10,197.53
7,14134,2642,4,382.4
8,12830,3821,9,246.12
9,14284,4444,10,585.04
10,6122,46,3,925.34
11,8481,4155,7,884.05
12,6214,1894,6,223.73
13,3897,3328,1,703.4
14,8674,1719,3,705.74
15,4090,3903,2,981.92
16,14234,1916,9,966.98
17,13864,2219,4,140.16
18,13753,4053,2,368.87
19,11763,4297,8,369.95
20,1786,748,3,544.52
21,16485,1084,8,720.15
22,10259,4994,10,964.43
23,4025,2326,8,698.03
24,8966,72,1,92.79
25,1526,1448,8,312.39
26,1992,3859,4,416.52
27,6278,2763,5,204.24
28,4068,4889,9,973.92
29,7247,3865,10,245.28
30,19766,1034,6,271.92
31,16038,4898,5,466.68
32,17369,4624,8,995.2
33,11384,4813,4,487.71
34,14365,1379,8,37.6
35,15338,3114,9,908.3
36,4314,3616,5,706.97
37,10010,2136,3,768.08
38,14041,927,2,908.07
39,9065,3479,8,871.18
40,9664,4038,10,996.45
41,6939,3047,1,780.01
42,7389,709,1,360.25
43,18445,1386,5,552.47
44,15146,4391,5,110.15
45,4828,609,4,168.06
46,2264,3127,1,822.41
47,6328,3537,3,358.94
48,16702,3078,9,288.63
49,12524,778,9,868.53
50,12865,4482,1,224.29
51,908,337,2,772.9
52,1929,344,10,644.23
53,16884,3874,2,496.31
54,19575,420,4,23.7
55,9637,3721,6,232.1
56,13394,2799,10,57.39
57,7175,4266,4,678.04
58,7903,1302,8,257.43
59,5078,2497,8,413.32
60,18795,899,7,811.12
61,9714,742,6,410.45
62,2936,1027,1,489.05
63,19102,1340,9,253.9
64,15201,949,8,426.2
65,12178,1476,8,556.48
66,4109,1528,3,32.94
67,11663,4388,6,640.74
68,7559,933,10,834.39
69,749,3052,9,894.94
70,9237,3107,9,389.39
71,5164,4851,9,687.81
72,6153,3600,10,860.0
73,13325,3468,9,893.44
74,3285,2694,10,197.85
75,13155,872,7,192.07
76,8254,4065,1,986.64
77,8693,61,1,481.11
78,11467,1871,4,809.82
79,7001,3438,8,347.71
80,13415,18,8,698.99
81,4155,527,3,284.46
82,754,531,5,841.52
83,15564,2902,5,516.02
84,8067,4390,3,393.96
85,1996,4082,10,333.26
86,2089,4666,8,304.2
87,4419,1015,4,641.36
88,8950,3290,2,658.94
89,8531,3923,1,814.03
90,16387,119,9,646.47
91,515,64,9,511.61
92,16803,2590,7,35.19
93,12350,4008,8,624.23
94,1516,4752,7,713.12
95,15910,4367,6,220.17
96,5433,3818,5,922.57
97,6329,1128,5,427.35
98,14739,1714,2,692.39
99,9293,2156,10,624.69
100,8505,1205,6,330.52
101,5159,1324,9,160.92
102,2598,2143,6,34.01
103,4500,425,10,33.64
104,12337,1281,9,651.03
105,13485,4429,7,440.1
106,13446,4262,10,291.87
107,6809,2944,4,799.55
108,8972,413,5,266.17
109,7131,1602,1,828.78
110,19432,2570,7,492.36
111,18668,2165,4,780.68
112,2901,4795,6,233.97
113,4156,3103,1,738.8
114,2342,2027,4,837.39
115,1674,1703,3,451.96
116,17435,4944,2,137.67
117,9024,2375,8,929.77
118,8661,1461,6,633.52
119,12591,1796,9,281.51
120,6763,1618,7,377.49
121,16150,283,10,106.36
122,1423,3168,7,850.33
123,223,4983,1,955.9
124,7785,1352,10,326.19
125,5258,1166,1,413.3
126,7601,2690,10,773.92
127,19260,4969,1,309.62
128,6628,1807,10,850.42
129,12580,2611,4,725.5
130,9759,1504,9,877.22
131,6404,3364,3,454.44
132,6017,4566,4,387.25
133,13454,558,2,691.11
134,260,3554,10,637.62
135,13568,544,7,655.19
136,4197,1612,4,177.36
137,4823,4247,3,923.36
138,10568,4200,3,585.49
139,3128,3869,10,570.96
140,11275,416,10,903.2
141,10956,1792,2,525.07
142,7423,2771,5,264.72
143,4279,150,4,862.23
144,12822,3944,9,231.62
145,19953,4520,4,850.2
146,13379,2189,9,352.49
147,16366,3586,1,58.47
148,18927,752,6,531.6
149,15832,2591,2,617.15
150,10259,1905,9,522.11
151,10723,742,1,971.11
152,18773,1483,7,178.62
153,1558,4874,1,173.97
154,4463,2262,9,426.83
155,9204,3437,7,903.66
156,19796,2663,3,605.0
157,3844,2702,6,686.55
158,14799,4607,8,834.54
159,7876,4697,9,588.18
160,19302,828,7,72.59
161,1424,2871,1,831.85
162,587,2413,6,826.3
163,10008,2953,8,343.53
164,1959,4890,5,284.91
165,15197,251,6,370.04
166,3592,4011,2,133.35
167,7212,3655,2,141.93
168,17132,425,5,242.43
169,14032,1893,6,678.28
170,2817,209,1,151.22
171,14313,3224,9,704.2
172,2852,1049,4,186.82
173,16335,171,1,839.73
174,4979,4573,7,493.58
175,3341,640,8,424.7
176,16765,1986,10,659.14
177,9362,3100,2,202.16
178,4809,29,3,327.57
179,2482,2356,10,815.81
180,195,3197,7,469.04
181,8725,4838,2,813.13
182,19670,674,3,617.79
183,18846,4113,7,289.45
184,17686,2473,3,834.52
185,6896,675,5,349.61
186,12725,504,7,731.04
187,9760,2711,8,630.35
188,19977,4936,1,873.2
189,8435,2338,1,789.37
190,15081,3553,9,175.69
191,592,125,6,868.99
192,1169,1599,3,319.7
193,14650,2688,2,51.29
194,5849,926,9,189.02
195,15248,1642,2,827.98
196,17963,1374,8,684.51
197,1562,2169,4,595.76
198,14659,2796,5,751.32
199,3965,2230,10,204.84
200,1996,2624,10,793.62
201,3032,683,7,561.21
202,16100,3684,10,600.68
203,11769,2541,8,383.42
204,7509,86,9,747.17
205,14802,2297,1,511.82
206,14519,1551,3,883.48
207,14668,104,10,691.73
208,16807,2349,8,102.69
209,6240,2885,5,974.51
210,1253,557,5,905.63
211,9615,3584,8,515.58
212,2672,4833,7,174.39
213,16052,1436,9,699.38
214,6489,1885,4,803.66
215,10466,180,8,806.31
216,3803,2364,3,500.45
217,3808,1192,6,299.24
218,18133,2280,7,725.66
219,1975,2527,8,337.41
220,6294,631,7,250.59
221,17490,2825,6,62.81
222,19094,4182,10,977.87
223,2807,33,5,127.73
224,16271,4699,7,692.19
225,17535,1266,8,512.32
226,6700,2955,5,337.84
227,3742,4598,6,308.86
228,10507,3144,2,169.43
229,16815,654,2,114.13
230,16888,3757,7,53.82
231,15603,3768,4,52.26
232,16249,2730,6,379.05
233,3579,2472,4,932.19
234,10323,3675,6,810.94
235,19998,3657,6,886.3
236,12534,631,6,818.04
237,8381,3957,10,856.07
238,12164,3685,10,258.3
239,1202,2714,9,235.12
240,14102,4560,1,156.07
241,11463,360,5,205.92
242,16650,3721,3,892.66
243,14872,2938,4,981.28
244,15290,168,5,656.12
245,2861,1095,8,533.59
246,19486,2527,4,955.2
247,13215,642,6,194.3
248,14024,260,7,287.1
249,2994,4684,10,841.59
250,18876,1079,8,853.9
251,19783,4341,7,248.1
252,16771,3182,1,947.29
253,8507,2731,6,93.51
254,2655,4859,3,527.76
255,14133,4636,7,502.13
256,3293,201,10,335.5
257,19070,3001,10,500.51
258,4536,3307,2,900.96
259,6956,1627,7,940.14
260,1254,787,1,358.99
261,2965,1807,5,456.18
262,18350,1463,10,586.66
263,8409,4115,8,704.46
264,17827,4799,1,492.7
265,13815,1705,5,58.79
266,5215,1368,6,665.73
267,9106,2172,9,329.64
268,2390,2785,3,937.73
269,10376,2285,9,758.03
270,9290,1994,3,97.96
271,3270,2575,9,764.63
272,10767,4246,5,94.16
273,1656,3568,4,547.15
274,19751,1101,2,914.36
275,18250,1539,9,396.14
276,5172,964,5,509.49
277,7046,4182,6,967.16
278,5674,1224,10,731.42
279,4157,1937,7,248.4
280,13403,1562,4,84.24
281,1658,3247,8,761.36
282,2838,4087,9,888.56
283,12843,304,10,976.44
284,2390,1788,3,647.77
285,9152,4735,5,576.13
286,19971,3000,2,41.53
287,225,2618,9,865.62
288,3681,45,5,411.9
289,12425,3296,7,931.58
290,8906,1337,7,807.22
291,9841,1237,2,921.26
292,6157,3424,2,359.48
293,7218,4623,1,534.69
294,17278,3053,8,971.99
295,11240,3669,6,95.5
296,2903,815,2,845.28
297,4430,323,1,165.63
298,1700,692,10,930.07
299,12267,4855,4,208.47
300,19630,4125,2,250.79
301,3671,4880,9,197.54
302,17018,4398,7,159.26
303,16671,3198,7,429.76
304,19214,4301,9,174.96
305,10128,199,9,274.2
306,14824,1752,5,345.51
307,4495,4701,3,455.62
308,8401,1219,8,808.6
309,13746,1960,6,616.93
310,17028,168,8,833.48
311,3843,795,10,726.82
312,11024,3684,8,603.99
313,12934,4382,10,196.25
314,13668,1417,2,664.67
315,16666,2407,8,127.59
316,3786,583,8,474.8
317,18242,4003,6,45.63
318,13309,3362,10,907.06
319,12323,3484,9,322.21
320,12530,291,6,597.51
321,4898,4227,1,833.77
322,3656,3775,5,630.75
323,15166,2894,3,819.7
324,1678,1268,10,67.38
325,5652,3191,5,377.35
326,14304,4225,8,725.33
327,16986,4168,8,216.76
328,9243,1375,4,71.67
329,10369,4878,8,648.66
330,5336,3080,3,853.84
331,6779,1289,10,904.33
332,5713,2425,8,757.09
333,9419,2066,7,292.3
334,17304,4644,7,689.13
335,12528,740,6,477.63
336,9841,4908,8,78.4
337,4395,2483,7,837.28
338,15222,947,6,120.42
339,6900,829,6,487.68
340,2435,3874,5,640.11
341,6423,4689,5,126.4
342,16013,3130,4,699.41
343,4114,1934,6,190.41
344,19166,1458,4,461.37
345,13054,4171,10,784.27
346,4843,30,4,596.77
347,8336,1742,8,51.43
348,17179,1391,1,298.62
349,809,2120,10,230.53
350,16883,2649,5,24.93
351,13948,4521,9,518.32
352,509,1070,7,660.54
353,18108,3887,6,462.04
354,4718,2892,3,733.65
355,4554,2384,3,159.9
356,18584,2252,3,977.52
357,6701,4001,10,701.72
358,8552,4417,7,560.09
359,5973,2415,5,556.35
360,10319,3158,3,167.39
361,11639,4780,5,950.52
362,1962,1721,7,72.46
363,2443,1124,4,884.37
364,3627,2171,9,800.39
365,16268,2330,6,992.23
366,2427,2660,2,896.45
367,7361,1895,7,437.2
368,15783,1287,10,424.28
369,13445,704,3,630.58
370,19492,450,8,638.17
371,2014,3469,2,469.36
372,18740,2551,9,124.65
373,9230,3695,9,346.65
374,3141,2289,10,350.52
375,11272,1684,8,383.93
376,14311,4557,1,492.57
377,4598,2538,6,691.17
378,12071,2211,1,723.63
379,10791,2996,1,820.05
380,7079,4556,5,635.3
381,9600,1923,2,249.42
382,14118,2572,6,352.45
383,14331,3291,8,96.78
384,5517,3858,3,947.79
385,8029,3234,9,218.01
386,8609,1713,10,95.57
387,19442,3961,3,987.22
388,16858,3720,10,561.01
389,7604,3995,9,481.28
390,10514,4514,3,398.38
391,19946,4880,6,548.51
392,11097,2558,9,679.75
393,12574,830,1,286.29
394,18710,59,4,391.97
395,1575,1522,2,394.42
396,8167,3387,5,384.37
397,1502,3555,4,670.7
398,7795,4010,10,51.49
399,16431,4478,2,255.63
400,12051,2896,5,641.11
401,5487,2347,5,801.75
402,13164,2937,3,562.74
403,11466,3141,5,302.33
404,13537,2682,3,118.46
405,18896,4477,2,669.89
406,9408,2032,5,104.88
407,11292,2116,3,426.39
408,18086,4564,6,312.9
409,3673,4661,7,432.75
410,1618,2625,10,434.93
411,8102,1780,3,467.34
412,10636,2159,4,991.4
413,13123,1231,5,165.01
414,1557,1214,7,516.07
415,916,2048,3,638.64
416,4021,579,4,223.81
417,3011,3452,8,862.12
418,17932,953,9,460.63
419,11815,2201,5,993.38
420,2551,4316,10,502.59
421,12841,385,9,837.94
422,19444,2399,10,575.09
423,7949,2311,4,914.98
424,19706,3770,5,202.59
425,365,1648,4,538.14
426,7798,3083,2,937.0
427,10571,2668,8,548.97
428,17318,3656,6,223.06
429,6654,2548,4,514.33
430,9303,3976,4,412.54
431,9501,3820,10,510.03
432,763,3554,7,477.52
433,16536,3534,7,362.28
434,9387,2099,9,76.71
435,10985,4051,5,874.45
436,15771,1430,2,66.46
437,15771,2145,9,811.98
438,7914,1532,4,983.53
439,7646,1891,5,997.71
440,12866,23,6,836.28
441,7968,2163,7,884.44
442,1746,1745,6,252.58
443,9322,932,9,992.77
444,15072,3232,1,580.95
445,15232,3763,4,235.25
446,8948,1383,6,984.83
447,8296,943,9,596.72
448,11887,3383,9,240.89
449,19480,4585,10,619.15
450,19416,1771,5,901.97
451,16976,1094,7,699.01
452,15507,59,10,424.83
453,3156,447,8,574.64
454,6720,1937,1,22.28
455,13333,3363,6,222.06
456,7212,4486,3,298.58
457,3235,833,7,16.23
458,18964,2885,9,404.65
459,19805,810,8,369.9
460,8352,499,10,222.8
461,11521,1605,5,173.71
462,9107,609,10,30.62
463,18751,1362,10,571.99
464,4626,932,2,260.65
465,6879,328,9,995.72
466,4169,762,2,656.98
467,15387,2353,6,729.37
468,19281,849,6,934.45
469,293,3170,4,733.29
470,8763,1076,2,493.66
471,16996,269,4,710.21
472,19397,3174,4,959.81
473,458,4326,1,264.85
474,9978,2626,10,784.18
475,6847,4802,8,139.54
476,14772,4027,8,259.96
477,14325,3329,9,893.57
478,15033,2331,10,772.27
479,517,4627,1,399.78
480,1729,4903,7,335.03
481,16400,462,6,356.91
482,17406,4872,4,263.36
483,428,4640,6,411.24
484,11407,2591,6,928.71
485,4979,1278,3,986.31
486,19528,3934,10,856.69
487,17033,259,4,89.67
488,3716,151,1,524.49
489,13256,4156,9,403.26
490,14398,1159,6,876.68
491,10397,91,6,317.51
492,14532,2162,5,862.7
493,13485,4187,8,59.24
494,5610,90,7,11.6
495,830,2141,7,55.55
496,19020,1339,5,903.27
497,61,3106,1,684.77
498,412,1368,6,825.06
499,17272,1357,5,425.94
500,2163,3102,5,817.35
501,12992,4160,1,842.99
502,10830,735,3,443.12
503,19874,2536,2,982.08
504,18055,1808,4,252.5
505,7968,2988,3,503.32
506,15376,2542,7,108.52
507,14645,4199,4,480.05
508,10717,2908,2,383.97
509,19617,4909,2,626.47
510,18183,1661,2,681.45
511,202,489,5,325.94
512,18236,4785,8,25.36
513,5692,4538,6,644.61
514,9027,2810,3,667.93
515,9774,2681,9,530.58
516,1464,461,4,319.47
517,18204,2754,1,670.59
518,14704,1364,1,987.75
519,19879,4159,4,820.8
520,14469,2951,6,477.23
521,8279,4305,7,415.57
522,1189,2982,3,879.26
523,19691,455,9,959.1
524,4864,1866,3,810.28
525,19282,1267,9,223.75
526,18382,2844,5,353.78
527,18247,2270,8,851.51
528,344,1009,1,963.13
529,10109,3958,9,872.4
530,16870,3066,7,261.73
531,948,2564,10,178.02
532,4848,1619,3,511.42
533,10247,2179,8,679.09
534,839,1071,1,225.23
535,16951,3933,2,191.2
536,15552,4584,8,43.5
537,16377,4741,9,915.38
538,10490,3362,10,230.24
539,13816,3246,4,775.85
540,13329,3303,3,509.31
541,14264,1127,3,542.47
542,5607,1987,9,645.53
543,561,966,10,208.9
544,14011,1230,1,496.91
545,12586,2333,6,786.62
546,13175,3875,2,418.38
547,18486,1186,7,558.29
548,9608,262,7,839.34
549,4400,1342,8,970.6
550,4671,3116,3,838.83
551,11863,376,10,793.02
552,2410,4840,4,569.89
553,19918,2323,5,488.0
554,17996,1133,7,505.6
555,13494,4797,4,509.79
556,13410,190,10,925.57
557,14831,569,1,723.75
558,18502,1241,6,678.98
559,1500,1426,10,292.84
560,12351,4795,2,473.97
561,17211,2593,1,719.91
562,14585,1147,4,989.56
563,7262,4944,1,786.32
