order_id,customer_id,order_date,payment_id,shipping_id,total_amount
1,793,2021-12-09 17:30,1,1,235.85
2,1605,2022-05-16 12:44,2,2,361.92
3,1599,2020-08-21 04:07,3,3,372.39
4,1452,2021-02-27 21:02,4,4,143.75
5,263,2020-09-28 15:31,5,5,627.47
6,188,2021-12-26 22:43,6,6,239.39
7,710,2021-05-27 20:16,7,7,240.34
8,1182,2021-10-18 16:40,8,8,540.47
9,1433,2020-07-16 08:47,9,9,594.27
10,767,2020-10-24 13:48,10,10,582.27
11,491,2020-10-09 20:01,11,11,955.63
12,131,2021-07-07 22:43,12,12,664.3
13,344,2021-05-18 12:56,13,13,413.37
14,1322,2020-08-18 17:13,14,14,832.03
15,33,2023-01-08 17:52,15,15,655.57
16,1630,2023-01-30 07:23,16,16,647.89
17,1166,2023-08-15 08:44,17,17,911.71
18,2,2023-03-22 23:28,18,18,457.24
19,1798,2020-07-20 00:05,19,19,656.56
20,165,2022-03-09 19:12,20,20,674.56
21,1606,2021-09-02 04:00,21,21,81.72
22,550,2020-11-27 21:22,22,22,782.76
23,164,2021-10-24 21:32,23,23,681.9
24,239,2023-06-17 05:42,24,24,857.47
25,1534,2020-11-26 16:21,25,25,54.61
26,1706,2020-08-30 11:00,26,26,836.02
27,1507,2021-04-29 19:29,27,27,99.67
28,794,2020-06-17 15:56,28,28,416.56
29,47,2022-08-20 04:56,29,29,981.89
30,57,2021-01-20 12:14,30,30,572.3
31,1546,2023-01-15 06:52,31,31,694.57
32,739,2020-06-05 03:37,32,32,99.31
33,1275,2022-01-23 07:45,33,33,88.98
34,1556,2021-01-10 04:36,34,34,545.94
35,1748,2020-05-28 15:39,35,35,843.15
36,225,2020-10-23 23:22,36,36,857.46
37,693,2022-05-24 00:15,37,37,337.73
38,11,2022-10-22 22:41,38,38,705.17
39,1118,2020-01-21 16:57,39,39,689.86
40,378,2020-12-14 12:34,40,40,761.39
41,1510,2020-04-19 21:08,41,41,657.17
42,791,2023-02-25 13:26,42,42,535.87
43,580,2023-03-20 16:41,43,43,884.5
44,1318,2020-06-30 22:20,44,44,588.07
45,1934,2022-02-28 17:26,45,45,158.74
46,540,2023-09-13 02:17,46,46,249.6
47,924,2022-04-24 07:45,47,47,742.68
48,106,2021-06-29 05:55,48,48,476.12
49,764,2021-12-26 03:06,49,49,596.35
50,1555,2020-04-14 15:55,50,50,880.04
51,583,2023-08-13 07:37,51,51,443.76
52,1658,2021-08-14 18:42,52,52,911.86
53,1489,2022-10-15 20:36,53,53,757.93
54,584,2020-05-21 17:19,54,54,564.35
55,846,2020-09-02 20:46,55,55,887.91
56,1694,2023-04-14 06:56,56,56,112.41
57,621,2021-08-16 21:51,57,57,462.9
58,1301,2020-06-01 07:26,58,58,511.38
59,1296,2021-08-02 08:41,59,59,649.48
60,1827,2021-12-07 04:15,60,60,13.17
61,1655,2021-02-03 09:56,61,61,88.78
62,1566,2022-12-01 02:55,62,62,634.05
63,1715,2020-09-02 05:29,63,63,895.94
64,1047,2020-09-25 04:19,64,64,944.32
65,858,2022-04-06 23:52,65,65,419.91
66,1304,2021-08-19 00:38,66,66,401.69
67,342,2023-02-02 13:11,67,67,429.7
68,1907,2023-09-09 12:57,68,68,976.37
69,1994,2022-06-07 20:33,69,69,335.76
70,988,2023-07-29 16:12,70,70,870.09
71,1815,2021-12-24 08:47,71,71,475.43
72,290,2022-06-24 02:39,72,72,591.5
73,1825,2023-03-15 17:21,73,73,12.34
74,2000,2023-05-23 03:41,74,74,958.53
75,96,2021-08-23 18:13,75,75,776.63
76,1415,2021-12-07 14:02,76,76,446.46
77,121,2021-02-28 15:36,77,77,694.22
78,767,2023-06-30 16:02,78,78,802.96
79,554,2020-12-06 12:54,79,79,716.98
80,1198,2023-04-03 16:50,80,80,60.74
81,1411,2020-06-07 22:36,81,81,204.73
82,562,2020-04-06 07:44,82,82,727.13
83,1656,2023-08-15 17:04,83,83,965.14
84,899,2022-07-25 02:57,84,84,704.11
85,1825,2021-02-08 03:56,85,85,381.77
86,924,2021-05-16 03:21,86,86,695.65
87,818,2023-02-03 04:36,87,87,683.08
88,464,2023-06-03 01:32,88,88,775.11
89,792,2021-04-09 15:49,89,89,986.78
90,706,2020-05-16 13:51,90,90,276.97
91,709,2022-01-20 09:55,91,91,263.04
92,1268,2023-05-25 01:03,92,92,180.28
93,1833,2023-01-10 03:41,93,93,477.11
94,1479,2023-06-06 03:22,94,94,844.15
95,1847,2021-04-10 19:48,95,95,483.42
96,21,2020-03-03 08:35,96,96,379.04
97,1817,2023-05-17 01:32,97,97,436.05
98,1984,2021-01-19 19:21,98,98,626.1
99,1588,2022-11-19 00:55,99,99,565.97
100,826,2021-01-13 17:14,100,100,244.69
101,1367,2021-04-30 01:56,101,101,669.98
102,1583,2023-06-16 19:58,102,102,969.9
103,1025,2022-10-08 05:07,103,103,774.23
104,340,2023-07-31 12:00,104,104,335.58
105,82,2022-04-19 22:36,105,105,834.23
106,1443,2022-03-25 00:11,106,106,147.93
107,1253,2021-07-23 18:20,107,107,971.44
108,764,2021-02-03 07:35,108,108,886.62
109,1600,2022-11-04 11:51,109,109,417.63
110,551,2021-08-18 19:27,110,110,341.57
111,268,2021-10-04 12:06,111,111,519.49
112,338,2020-12-30 20:35,112,112,218.09
113,423,2020-10-09 11:13,113,113,648.27
114,1974,2022-12-16 18:54,114,114,797.84
115,1755,2022-01-25 20:01,115,115,92.62
116,152,2022-10-30 11:43,116,116,88.21
117,642,2021-07-29 09:24,117,117,77.23
118,1786,2022-09-19 01:10,118,118,677.67
119,1194,2021-06-16 20:34,119,119,670.12
120,111,2023-09-15 14:42,120,120,929.02
121,973,2022-06-16 21:51,121,121,184.99
122,1457,2022-07-29 18:23,122,122,30.08
123,1985,2021-04-06 21:32,123,123,444.74
124,1571,2021-10-05 21:53,124,124,420.22
125,248,2022-01-16 13:55,125,125,661.51
126,1347,2020-05-11 13:17,126,126,198.27
127,695,2020-10-31 17:41,127,127,942.73
128,1252,2022-06-23 21:19,128,128,600.78
129,1899,2022-04-11 05:07,129,129,553.92
130,785,2023-07-08 14:04,130,130,727.02
131,198,2021-01-12 06:19,131,131,82.66
132,255,2020-08-14 02:37,132,132,316.54
133,1753,2021-08-30 18:58,133,133,712.57
134,1035,2020-09-30 15:10,134,134,898.43
135,867,2022-12-14 14:18,135,135,265.99
136,889,2023-03-20 10:35,136,136,505.42
137,678,2021-11-15 23:03,137,137,875.97
138,302,2020-09-15 09:10,138,138,756.13
139,7,2023-08-09 22:56,139,139,614.76
140,1049,2023-09-13 05:44,140,140,899.77
141,454,2023-08-06 01:13,141,141,36.2
142,1564,2021-04-10 11:57,142,142,649.74
143,1137,2023-04-04 19:28,143,143,257.12
144,1680,2021-09-26 10:52,144,144,388.09
145,1124,2021-04-10 05:43,145,145,109.08
146,1598,2023-07-27 15:29,146,146,748.89
147,357,2020-05-02 22:06,147,147,923.49
148,640,2022-10-18 09:11,148,148,20.01
149,1172,2020-06-09 20:40,149,149,897.25
150,757,2020-06-21 20:35,150,150,117.72
151,593,2021-07-06 06:11,151,151,323.02
152,1547,2023-07-10 15:38,152,152,682.16
153,1624,2022-01-18 10:57,153,153,981.37
154,1824,2022-04-22 17:24,154,154,932.74
155,48,2021-07-28 13:16,155,155,795.58
156,461,2021-04-14 12:46,156,156,419.99
157,1537,2020-10-16 13:47,157,157,164.5
158,361,2020-06-19 18:56,158,158,453.03
159,480,2021-11-14 08:10,159,159,764.91
160,1486,2021-09-27 13:53,160,160,90.71
161,562,2021-04-09 16:12,161,161,94.75
162,338,2020-09-01 05:25,162,162,888.93
163,1790,2023-09-04 05:35,163,163,416.52
164,1897,2023-05-31 19:00,164,164,444.75
165,1666,2020-08-01 06:53,165,165,699.9
166,932,2023-02-21 08:00,166,166,332.17
167,1973,2020-03-23 04:59,167,167,141.07
168,1052,2020-08-13 12:42,168,168,166.1
169,620,2023-04-17 15:03,169,169,420.51
170,441,2022-09-06 06:43,170,170,587.55
171,1736,2022-12-31 21:14,171,171,931.52
172,539,2020-09-16 21:21,172,172,499.06
173,1753,2022-10-01 06:31,173,173,715.99
174,801,2021-02-12 00:54,174,174,53.2
175,653,2021-07-10 01:33,175,175,699.71
176,216,2021-12-14 02:45,176,176,833.77
177,1300,2022-01-03 11:13,177,177,10.71
178,1751,2022-03-13 17:01,178,178,825.86
179,1188,2023-05-24 14:47,179,179,778.66
180,2,2020-04-18 03:56,180,180,960.79
181,1532,2022-10-03 20:35,181,181,254.6
182,237,2023-03-30 07:20,182,182,834.32
183,1355,2022-03-20 22:32,183,183,743.17
184,22,2021-04-03 22:40,184,184,383.58
185,449,2022-05-06 05:46,185,185,212.01
186,654,2023-05-03 10:18,186,186,323.53
187,1177,2022-07-15 21:07,187,187,755.28
188,332,2021-07-12 03:30,188,188,455.44
189,1028,2021-03-07 03:34,189,189,732.23
190,1708,2021-07-10 09:42,190,190,953.76
191,1483,2022-05-29 20:58,191,191,215.62
192,1867,2020-07-13 08:16,192,192,580.83
193,369,2020-02-18 09:56,193,193,562.98
194,801,2021-05-23 17:13,194,194,744.62
195,53,2020-11-27 00:07,195,195,916.4
196,665,2023-02-15 13:57,196,196,66.78
197,208,2023-01-14 11:42,197,197,450.86
198,1462,2022-05-07 07:40,198,198,585.22
199,1843,2022-09-09 14:59,199,199,915.84
200,580,2022-07-16 04:29,200,200,153.98
201,1448,2023-03-18 10:31,201,201,373.97
202,298,2020-02-03 09:47,202,202,473.02
203,1614,2023-09-30 20:58,203,203,502.79
204,1852,2022-10-07 06:11,204,204,409.03
205,1716,2023-02-19 11:54,205,205,540.01
206,1249,2020-09-28 02:34,206,206,695.8
207,656,2021-04-24 21:34,207,207,764.79
208,604,2020-09-09 22:47,208,208,240.75
209,1895,2020-01-19 16:51,209,209,583.26
210,614,2021-06-10 11:38,210,210,179.28
211,1151,2022-08-20 04:38,211,211,793.99
212,1170,2022-01-01 22:37,212,212,490.51
213,1882,2022-05-24 19:41,213,213,630.7
214,1910,2023-09-02 19:19,214,214,40.49
215,1139,2021-07-05 00:28,215,215,589.34
216,1018,2023-06-09 21:09,216,216,118.13
217,1703,2021-08-11 09:26,217,217,564.75
218,589,2020-07-11 05:58,218,218,210.16
219,1310,2021-06-30 14:28,219,219,357.59
220,1132,2020-12-29 23:31,220,220,760.81
221,27,2022-11-09 17:11,221,221,750.97
222,1941,2023-04-29 12:51,222,222,371.75
223,252,2020-10-29 13:44,223,223,134.47
224,1338,2021-09-12 07:11,224,224,507.15
225,48,2020-07-08 05:38,225,225,740.84
226,1864,2020-12-06 21:00,226,226,947.25
227,780,2020-12-29 15:59,227,227,292.49
228,1378,2021-04-21 15:24,228,228,245.73
229,506,2021-03-09 19:36,229,229,699.97
230,640,2020-12-29 04:35,230,230,546.5
231,1325,2021-01-13 05:28,231,231,823.07
232,1710,2021-10-29 16:09,232,232,822.31
233,1937,2022-02-22 09:55,233,233,265.14
234,1088,2020-07-22 06:30,234,234,498.9
235,1909,2020-11-23 19:40,235,235,272.2
236,476,2022-04-22 10:09,236,236,522.92
237,197,2023-05-01 05:11,237,237,841.8
238,1224,2021-01-14 15:03,238,238,224.82
239,1200,2021-07-22 22:07,239,239,510.28
240,262,2022-05-16 22:28,240,240,16.63
241,1431,2023-04-15 22:46,241,241,624.42
242,1764,2020-08-31 06:05,242,242,278.93
243,759,2022-05-07 10:46,243,243,314.55
244,1858,2021-09-22 20:58,244,244,586.94
245,1010,2022-07-10 17:58,245,245,870.32
246,734,2020-02-10 00:19,246,246,606.59
247,370,2021-06-27 14:29,247,247,239.41
248,1858,2021-04-13 15:38,248,248,16.5
249,1839,2021-01-18 07:55,249,249,388.09
250,1051,2022-07-31 14:35,250,250,641.09
251,695,2022-05-26 20:46,251,251,368.59
252,1194,2022-08-07 20:54,252,252,499.19
253,1500,2021-12-20 00:13,253,253,454.5
254,1990,2021-12-04 00:48,254,254,808.73
255,225,2020-02-23 00:23,255,255,80.79
256,637,2021-10-15 10:23,256,256,833.11
257,1876,2020-09-15 17:24,257,257,88.7
258,1618,2021-01-26 05:54,258,258,977.49
259,1579,2021-06-03 18:54,259,259,203.05
260,936,2022-10-07 00:27,260,260,907.39
261,27,2023-05-28 22:31,261,261,265.07
262,308,2023-04-07 07:45,262,262,275.31
263,335,2023-03-29 08:27,263,263,268.36
264,1623,2020-10-21 05:56,264,264,865.53
265,724,2020-11-21 09:57,265,265,106.84
266,946,2020-04-25 03:07,266,266,319.7
267,1418,2020-05-03 02:45,267,267,273.29
268,124,2023-07-15 13:23,268,268,724.48
269,1728,2021-12-16 04:27,269,269,970.53
270,1471,2023-09-19 15:52,270,270,241.14
271,664,2023-07-31 01:45,271,271,630.06
272,1634,2023-04-29 14:28,272,272,279.41
273,540,2022-10-08 01:16,273,273,951
274,270,2020-10-31 05:43,274,274,377.3
275,1555,2023-09-26 00:59,275,275,773.03
276,208,2021-02-11 00:38,276,276,782.73
277,1089,2022-05-25 08:51,277,277,354.66
278,951,2020-10-08 09:27,278,278,970.8
279,569,2023-02-21 13:24,279,279,344.66
280,920,2022-04-22 19:54,280,280,476.26
281,596,2022-12-08 16:20,281,281,179.84
282,1114,2021-10-28 04:21,282,282,910.04
283,873,2020-03-21 18:01,283,283,139.22
284,1905,2022-04-12 06:40,284,284,853.83
285,332,2022-11-21 17:28,285,285,432.04
286,864,2020-02-18 09:33,286,286,75.21
287,52,2022-06-05 20:22,287,287,804.97
288,773,2022-12-24 10:30,288,288,407.03
289,1363,2022-07-14 17:56,289,289,965.32
290,51,2022-04-14 15:05,290,290,171.5
291,1984,2023-08-17 10:44,291,291,350.35
292,1700,2020-11-27 14:29,292,292,48.27
293,737,2020-08-16 02:19,293,293,99.17
294,631,2021-02-13 14:02,294,294,453.71
295,1241,2023-07-03 22:55,295,295,792.82
296,1186,2021-07-11 13:57,296,296,911.65
297,1082,2020-11-29 11:59,297,297,948.83
298,602,2020-12-03 16:14,298,298,369.03
299,1438,2021-08-11 18:05,299,299,604.28
300,957,2021-08-10 07:16,300,300,920.87
301,661,2020-05-07 17:28,301,301,564.17
302,533,2023-04-06 17:15,302,302,806.69
303,731,2022-05-18 00:24,303,303,25.39
304,1865,2022-10-12 09:46,304,304,165.43
305,148,2021-01-16 13:40,305,305,821.33
306,979,2022-12-30 16:19,306,306,876.95
307,1298,2023-04-14 14:41,307,307,879.39
308,1527,2022-06-01 13:43,308,308,794.16
309,1290,2022-06-03 05:26,309,309,409.55
310,1378,2020-10-19 19:27,310,310,411.7
311,104,2021-01-17 17:48,311,311,899.61
312,1281,2023-08-29 02:52,312,312,611.13
313,1043,2023-07-17 23:34,313,313,168.45
314,1755,2022-01-03 08:34,314,314,875.38
315,145,2021-07-03 05:15,315,315,466.26
316,1559,2023-08-11 20:42,316,316,109.92
317,1835,2023-05-27 09:54,317,317,174.08
318,503,2021-01-02 05:46,318,318,716.37
319,1905,2020-03-24 18:14,319,319,988.69
320,1592,2021-04-06 02:31,320,320,486.18
321,4,2021-11-28 04:28,321,321,497.21
322,221,2022-05-26 04:32,322,322,200.17
323,656,2022-02-11 23:16,323,323,612.49
324,1087,2022-06-07 21:57,324,324,402.6
325,1228,2023-09-28 20:23,325,325,376.48
326,1009,2020-02-14 23:05,326,326,272.86
327,693,2020-09-14 00:22,327,327,719.24
328,1236,2021-04-11 10:13,328,328,168.23
329,866,2021-10-27 05:29,329,329,966.5
330,421,2022-03-07 12:35,330,330,932.6
331,627,2022-08-22 06:44,331,331,277.08
332,1327,2021-10-27 04:21,332,332,442.28
333,493,2021-07-28 04:45,333,333,982.79
334,151,2022-03-05 13:15,334,334,859.19
335,837,2021-06-05 23:33,335,335,133.77
336,1784,2020-02-06 07:21,336,336,252.57
337,280,2023-01-03 14:59,337,337,22.31
338,18,2020-04-08 23:16,338,338,527.57
339,488,2020-03-23 15:57,339,339,817.42
340,46,2021-07-27 17:53,340,340,418.31
341,1850,2023-02-11 15:17,341,341,178.7
342,924,2023-09-09 13:13,342,342,765.77
343,1009,2022-02-21 19:55,343,343,177.74
344,1888,2023-03-20 22:00,344,344,810.57
345,138,2022-06-22 23:24,345,345,594.6
346,586,2021-02-04 16:47,346,346,526.56
347,1768,2023-05-17 03:16,347,347,741.09
348,1670,2020-12-13 23:52,348,348,298.41
349,309,2021-08-01 00:21,349,349,770.61
350,329,2023-09-22 13:50,350,350,151.58
351,192,2022-08-22 14:54,351,351,953.76
352,1169,2022-12-10 14:08,352,352,310.33
353,1728,2022-08-20 15:01,353,353,375.44
354,66,2023-07-06 17:15,354,354,955.39
355,1330,2022-10-28 07:27,355,355,761.64
356,581,2022-05-21 14:05,356,356,188.62
357,1138,2021-04-24 19:18,357,357,110.59
358,158,2022-07-24 19:14,358,358,42.17
359,633,2020-11-12 21:08,359,359,197.46
360,589,2021-05-04 00:47,360,360,83.54
361,1079,2021-03-18 22:56,361,361,458.71
362,1682,2021-05-14 22:47,362,362,272.03
363,550,2022-09-10 09:24,363,363,765.05
364,830,2022-09-04 08:26,364,364,681.83
365,987,2022-06-08 14:53,365,365,749.29
366,341,2021-11-18 11:04,366,366,991.06
367,298,2023-01-10 03:05,367,367,544.37
368,1364,2022-03-30 16:47,368,368,154.25
369,65,2021-05-17 22:59,369,369,853.46
370,1658,2022-08-12 21:39,370,370,515.98
371,635,2020-10-28 05:06,371,371,906.75
372,1295,2022-12-08 06:51,372,372,250.24
373,1331,2023-05-23 16:42,373,373,447.03
374,567,2021-01-28 20:29,374,374,511.04
375,1490,2022-01-20 14:14,375,375,578.76
376,1408,2021-09-16 18:19,376,376,21.64
377,1617,2021-05-02 14:15,377,377,609.67
378,373,2022-11-20 21:08,378,378,763.45
379,1853,2023-06-28 05:04,379,379,25.96
380,1834,2020-10-20 22:07,380,380,780.52
381,1386,2020-08-19 07:58,381,381,628.05
382,1628,2021-12-09 12:40,382,382,897.46
383,1106,2021-08-01 23:25,383,383,499.78
384,1833,2022-04-18 23:00,384,384,429.16
385,661,2021-10-23 08:48,385,385,299.24
386,603,2020-07-29 21:21,386,386,674.11
387,1873,2021-05-02 17:51,387,387,52.43
388,1782,2020-03-22 01:17,388,388,543.42
389,681,2022-03-23 19:48,389,389,889.71
390,612,2023-08-12 20:51,390,390,699.76
391,1548,2021-11-18 12:36,391,391,288.43
392,1841,2022-10-12 19:46,392,392,954.68
393,1892,2022-08-22 14:54,393,393,537.22
394,465,2022-09-26 17:45,394,394,763.88
395,551,2020-07-01 01:07,395,395,84.65
396,1684,2021-11-24 08:09,396,396,495.41
397,892,2022-09-24 01:29,397,397,998.96
398,856,2021-05-09 20:14,398,398,479.2
399,1222,2023-06-10 05:45,399,399,811.88
400,1409,2021-03-26 00:17,400,400,338.11
401,707,2023-06-26 10:10,401,401,320.26
402,1341,2021-06-22 21:23,402,402,838.11
403,829,2020-04-06 18:42,403,403,199.99
404,267,2020-04-11 15:27,404,404,878.1
405,632,2021-05-16 05:02,405,405,64.72
406,466,2021-03-04 11:09,406,406,67.52
407,393,2022-05-12 17:51,407,407,585.35
408,370,2020-01-21 14:17,408,408,914.91
409,1785,2020-02-04 15:23,409,409,849.81
410,686,2023-02-13 05:15,410,410,845.33
411,336,2020-06-06 09:40,411,411,780.89
412,1945,2020-12-11 02:36,412,412,467.22
413,150,2020-02-06 19:30,413,413,527.51
414,1710,2022-01-29 18:10,414,414,764.49
415,1132,2022-06-04 02:18,415,415,424.04
416,616,2020-04-27 06:14,416,416,763
417,640,2022-09-27 18:31,417,417,295.02
418,611,2020-11-28 08:41,418,418,724.33
419,863,2020-08-28 10:27,419,419,46.96
420,546,2020-08-18 21:55,420,420,972.28
421,332,2023-01-15 07:57,421,421,339.06
422,1402,2021-10-17 00:29,422,422,105.79
423,8,2021-04-29 05:31,423,423,545.34
424,1962,2021-04-02 20:36,424,424,799.22
