payment_id,payment_type,payment_date,amount,payment_status
1,Net Banking,2021-12-17 08:00,774.16,Failed
2,Net Banking,2022-04-12 01:38,303.04,Refunded
3,Net Banking,2022-12-09 12:50,856.15,Completed
4,UPI,2021-06-28 19:44,25.92,Refunded
5,UPI,2020-11-07 10:27,169.86,Failed
6,Debit Card,2022-02-16 13:25,685.33,Failed
7,Debit Card,2022-07-28 10:54,627.9,Refunded
8,Debit Card,2020-09-17 14:58,839.41,Refunded
9,Credit Card,2021-06-13 16:30,251.44,Refunded
10,Credit Card,2022-07-28 16:15,31.04,Refunded
11,UPI,2022-09-06 13:49,675.04,Failed
12,Credit Card,2020-08-21 15:51,341.23,Refunded
13,Credit Card,2020-06-18 04:13,908.79,Failed
14,Credit Card,2020-07-15 23:46,53.42,Failed
15,Debit Card,2022-05-08 03:37,18.82,Refunded
16,Credit Card,2020-10-02 20:46,407.31,Refunded
17,Debit Card,2021-06-19 07:45,846.25,Failed
18,Net Banking,2023-02-13 19:30,919.33,Completed
19,Debit Card,2021-10-14 10:21,296.13,Refunded
20,Debit Card,2022-01-03 01:37,497.08,Completed
21,Debit Card,2020-08-08 09:03,290.85,Failed
22,Net Banking,2023-03-13 08:57,100.38,Failed
23,Net Banking,2021-05-11 16:27,970.6,Refunded
24,Net Banking,2023-07-21 19:00,393.47,Failed
25,Debit Card,2020-11-15 18:43,32.72,Completed
26,Credit Card,2022-10-10 13:53,695.75,Refunded
27,Net Banking,2022-05-16 14:09,371.22,Refunded
28,Debit Card,2021-09-27 12:38,398.92,Failed
29,UPI,2023-04-27 07:13,902.63,Refunded
30,Net Banking,2020-09-20 02:47,297.2,Completed
31,Credit Card,2023-09-09 21:29,149.84,Refunded
32,Net Banking,2023-09-22 16:45,59.13,Failed
33,Net Banking,2020-02-05 10:40,326.43,Refunded
34,Credit Card,2023-02-19 11:09,768.03,Failed
35,Debit Card,2020-10-20 04:42,500.55,Completed
36,Net Banking,2023-08-27 22:41,210.89,Completed
37,Debit Card,2021-04-25 16:10,327.07,Failed
38,Debit Card,2022-02-20 01:28,602.29,Completed
39,Credit Card,2020-07-02 20:01,908,Completed
40,Credit Card,2023-04-21 03:34,61.89,Refunded
41,Debit Card,2020-05-15 15:31,557.51,Refunded
42,Credit Card,2020-01-08 15:47,811.45,Failed
43,Credit Card,2020-12-21 03:55,531.46,Completed
44,UPI,2021-07-24 01:27,73.82,Refunded
45,Debit Card,2023-07-03 01:50,686.11,Refunded
46,Debit Card,2020-04-11 13:48,924.23,Refunded
47,Debit Card,2023-07-21 20:03,449.05,Failed
48,Credit Card,2021-05-11 16:54,772.61,Failed
49,Debit Card,2022-12-29 23:56,917.03,Completed
50,Credit Card,2020-10-14 05:20,985.19,Refunded
51,Net Banking,2022-11-30 08:31,76.11,Refunded
52,UPI,2022-07-28 02:17,895.19,Failed
53,Net Banking,2020-01-08 06:08,873.1,Refunded
54,Debit Card,2020-05-30 18:28,993.57,Completed
55,Credit Card,2021-12-15 19:26,684.07,Completed
56,Debit Card,2020-01-18 14:29,863.4,Failed
57,Net Banking,2021-02-19 15:47,608.61,Refunded
58,UPI,2020-10-12 09:09,103.72,Refunded
59,Credit Card,2021-09-23 22:27,148.53,Failed
60,Debit Card,2022-08-29 00:10,998.71,Refunded
61,UPI,2023-08-19 12:01,38.49,Refunded
62,Credit Card,2022-04-10 23:26,814.17,Failed
63,Net Banking,2020-07-20 04:30,514,Failed
64,Net Banking,2020-09-13 06:38,661.62,Refunded
65,Debit Card,2022-04-17 05:08,927.57,Failed
66,UPI,2020-02-20 23:12,96.9,Refunded
67,Net Banking,2023-08-03 01:39,169.85,Failed
68,Debit Card,2023-04-27 11:02,167.33,Failed
69,Net Banking,2022-06-09 16:59,449.41,Refunded
70,Credit Card,2023-03-13 22:29,702.24,Completed
71,Net Banking,2023-08-11 07:28,403.11,Failed
72,UPI,2020-12-12 00:21,195.39,Refunded
73,Credit Card,2022-08-07 19:22,298.52,Refunded
74,Debit Card,2021-10-13 09:53,569.94,Completed
75,Debit Card,2021-10-24 00:33,347.98,Failed
76,Net Banking,2022-08-10 12:03,160.77,Failed
77,Net Banking,2022-02-17 06:09,303.42,Refunded
78,Debit Card,2023-02-14 09:30,375.66,Refunded
79,Credit Card,2021-10-11 23:19,39.03,Completed
80,UPI,2020-09-12 15:12,775.47,Completed
81,Net Banking,2021-11-06 04:42,488.02,Refunded
82,Debit Card,2023-03-16 00:41,79.27,Completed
83,UPI,2022-03-22 02:08,357.41,Completed
84,Net Banking,2020-06-13 13:13,651.8,Failed
85,Net Banking,2020-03-21 18:51,65.52,Refunded
86,UPI,2020-03-30 18:36,14.32,Refunded
87,Debit Card,2021-06-20 03:32,277.07,Refunded
88,Debit Card,2022-12-06 11:04,948.42,Refunded
89,Net Banking,2021-12-16 13:59,643.06,Completed
90,Debit Card,2023-08-08 04:43,26.49,Completed
91,Debit Card,2020-02-06 01:27,132.26,Refunded
92,Debit Card,2021-11-27 21:15,637.28,Completed
93,Net Banking,2023-07-05 13:06,45.77,Failed
94,Debit Card,2023-03-16 08:06,756.69,Completed
95,Net Banking,2023-09-16 07:43,646.7,Failed
96,Debit Card,2021-01-06 20:15,170.43,Completed
97,Net Banking,2023-05-23 07:34,218.71,Completed
98,Credit Card,2022-02-26 15:46,176.47,Completed
99,Credit Card,2022-10-17 16:11,642.55,Completed
100,Debit Card,2021-06-19 17:19,787.64,Failed
101,Net Banking,2020-10-11 17:18,266.97,Refunded
102,Net Banking,2022-01-14 05:17,246.83,Refunded
103,UPI,2020-02-20 00:22,700.31,Failed
104,Net Banking,2020-07-07 06:39,808.69,Failed
105,UPI,2022-03-11 14:05,946.58,Refunded
106,UPI,2022-04-15 15:06,681.51,Failed
107,UPI,2020-04-11 05:03,723.16,Refunded
108,Net Banking,2021-03-02 23:01,368.27,Failed
109,UPI,2022-02-02 03:55,226.68,Failed
110,Credit Card,2021-07-28 02:08,387.01,Failed
111,Net Banking,2021-12-25 16:17,928.2,Refunded
112,Debit Card,2023-09-26 07:19,750.06,Failed
113,Debit Card,2021-08-30 18:14,565.95,Completed
114,UPI,2023-09-03 07:01,551.56,Failed
115,Debit Card,2022-05-02 17:17,833.8,Completed
116,Net Banking,2022-03-13 20:39,831.57,Refunded
117,UPI,2021-05-07 17:16,162.71,Refunded
118,Net Banking,2022-08-26 15:43,371.27,Failed
119,Credit Card,2022-11-06 16:58,902.08,Failed
120,Debit Card,2020-11-21 02:17,775.41,Refunded
121,Net Banking,2023-06-03 20:37,565.24,Refunded
122,UPI,2021-09-07 05:57,251.42,Refunded
123,Net Banking,2023-05-07 06:18,693.6,Refunded
124,Credit Card,2021-12-30 10:43,33.54,Refunded
125,UPI,2021-10-15 08:21,801.71,Failed
126,Credit Card,2023-05-05 12:29,183.12,Failed
127,Net Banking,2022-08-07 14:31,173.53,Completed
128,Credit Card,2022-07-26 11:12,205.1,Completed
129,Debit Card,2023-03-07 22:52,55.22,Failed
130,Net Banking,2021-04-10 22:01,915.53,Failed
131,Debit Card,2023-04-23 05:04,321.58,Refunded
132,UPI,2023-09-27 23:29,632.6,Refunded
133,Credit Card,2021-05-09 18:17,566.61,Completed
134,Credit Card,2022-05-13 22:11,146.33,Refunded
135,UPI,2020-08-13 03:36,360.8,Refunded
136,Debit Card,2023-07-26 19:40,14.82,Failed
137,Credit Card,2023-09-09 21:26,193.14,Refunded
138,Credit Card,2021-09-30 18:39,217.62,Completed
139,Credit Card,2020-10-12 01:16,909.77,Refunded
140,UPI,2021-04-21 12:16,826.12,Failed
141,UPI,2021-01-20 04:26,87.88,Refunded
142,Credit Card,2020-08-16 18:47,150.81,Refunded
143,UPI,2023-03-25 20:22,38.9,Completed
144,Net Banking,2022-01-03 19:58,192.8,Failed
