product_id,name,cogs,category_id,seller_id
1,Include,358.03,3,373
2,Visit,871.34,23,315
3,Newspaper,998.17,18,328
4,Performance,980.23,4,39
5,Position,674.47,26,187
6,With,517.96,48,348
7,Population,168.39,2,74
8,Debate,850.18,44,401
9,Learn,443.79,9,35
10,Speech,243.64,42,188
11,Side,368.53,37,17
12,Such,609.04,44,231
13,Among,949.34,24,228
14,Look,765.45,37,71
15,Serve,534.17,26,161
16,Perhaps,653.07,16,492
17,Officer,122.31,48,96
18,Fill,504.05,25,468
19,Nothing,566.06,17,397
20,Someone,267.69,29,110
21,Loss,996.4,19,356
22,Another,917.31,32,103
23,Feel,131.41,5,232
24,Go,180.93,46,228
25,Affect,997.29,44,496
26,Involve,847.07,21,342
27,Perform,353.95,5,282
28,Product,546.75,20,436
29,Strong,165.93,46,475
30,At,703.22,12,407
31,Matter,367.88,15,63
32,Themselves,985.28,9,122
33,Unit,792.47,2,185
34,Key,558.48,24,240
35,Woman,805.63,36,67
36,Major,615.83,6,34
37,Who,316.2,46,369
38,Usually,483.88,27,394
39,Politics,415.34,37,38
40,Owner,134.07,21,329
41,During,83.42,30,349
42,Wind,522.19,9,450
43,Forward,830.76,36,328
44,They,591.91,50,495
45,Perhaps,137.74,33,467
46,Dog,869.53,8,266
47,Listen,161.49,11,83
48,Evidence,329.43,46,116
49,First,352.56,34,459
50,Vote,291.21,6,129
51,Reach,204.34,36,141
52,Together,133.92,20,315
53,American,538.14,33,329
54,Technology,176.95,38,79
55,Drop,179.49,40,369
56,Relate,902.98,22,432
57,West,924.69,3,423
58,Particularly,865.14,6,24
59,Environmental,949.06,50,296
60,Indicate,272.01,14,393
61,Evidence,576.42,40,328
62,Above,39.98,41,280
63,Nice,296.77,20,248
64,Drop,252.43,44,208
65,Amount,304.46,5,353
66,Doctor,69.31,29,213
67,Term,489.41,14,175
68,Listen,610.59,21,442
69,Edge,721.18,47,441
70,Industry,351.92,26,67
71,Able,763.06,33,288
72,Law,115.12,16,239
73,Anyone,131.3,29,127
74,Bag,149.47,4,149
75,Suffer,945.93,40,215
76,Suggest,255.79,11,417
77,Eye,334.16,37,370
78,North,319.59,49,82
79,Teach,503.28,33,240
80,We,503.77,20,255
81,Office,32.94,26,259
82,Yard,462.66,16,111
83,Keep,587.51,4,26
84,Admit,288.54,39,452
85,More,844.42,44,241
86,Trouble,292.89,1,434
87,Significant,116.42,9,452
88,Study,271.83,24,392
89,Speak,409.22,3,206
90,Push,60.65,36,100
91,Store,368.9,19,38
92,Follow,392.49,29,392
93,Specific,554.36,40,349
94,Plan,614.93,9,500
95,Record,105.71,24,407
96,Approach,986.92,36,481
97,Model,371.95,10,102
98,Partner,606.44,26,257
99,Different,49.85,3,71
100,None,716.46,31,266
101,Recently,462.42,39,458
102,Old,520.35,21,477
103,Field,616.94,11,202
104,State,990.71,48,432
