shipping_id,shipping_date,delivery_date,shipping_status
1,2023-04-17 20:09,2023-04-24 09:49,Not Shipped
2,2021-12-06 08:08,2021-12-10 12:23,Returned
3,2023-02-27 16:26,2023-03-06 11:53,Shipped
4,2020-11-23 09:31,2020-11-28 03:32,Returned
5,2023-07-01 03:19,2023-07-09 22:14,Not Shipped
6,2021-08-09 14:23,2021-08-18 07:40,Not Shipped
7,2023-06-17 17:06,2023-06-22 00:03,Returned
8,2022-06-20 00:24,2022-06-22 03:38,Returned
9,2022-05-01 16:05,2022-05-05 20:32,Returned
10,2020-11-19 10:06,2020-11-26 06:54,Returned
11,2020-10-30 16:57,2020-11-04 08:28,Not Shipped
12,2022-09-04 11:37,2022-09-06 18:04,Returned
13,2021-08-19 01:10,2021-08-20 06:31,Not Shipped
14,2021-01-18 04:31,2021-01-27 23:09,Not Shipped
15,2022-04-13 17:33,2022-04-20 14:26,Returned
16,2020-07-08 20:51,2020-07-17 05:01,Returned
17,2020-11-26 17:22,2020-12-06 12:57,Not Shipped
18,2020-08-03 01:45,2020-08-09 04:27,Shipped
19,2021-08-29 17:09,2021-08-30 21:01,Returned
20,2021-09-04 20:38,2021-09-05 15:36,Shipped
21,2021-11-09 08:48,2021-11-12 23:27,Not Shipped
22,2021-11-02 05:24,2021-11-03 22:50,Not Shipped
23,2020-03-28 18:28,2020-03-29 12:29,Returned
24,2022-03-26 07:23,2022-03-31 05:01,Not Shipped
25,2021-05-31 18:26,2021-06-02 22:58,Shipped
26,2021-05-23 16:16,2021-05-25 00:38,Returned
27,2021-02-14 09:53,2021-02-20 03:51,Returned
28,2020-03-06 10:07,2020-03-16 16:25,Not Shipped
29,2021-08-10 07:12,2021-08-16 16:29,Returned
30,2022-03-05 11:46,2022-03-13 19:03,Shipped
31,2020-12-01 03:32,2020-12-08 12:55,Returned
32,2020-06-18 22:49,2020-06-20 22:48,Not Shipped
33,2020-07-21 08:32,2020-07-22 19:13,Returned
34,2020-05-27 21:20,2020-06-01 08:28,Not Shipped
35,2020-06-08 07:57,2020-06-16 20:00,Shipped
36,2023-04-15 17:28,2023-04-16 00:44,Shipped
37,2021-06-21 02:30,2021-06-28 22:43,Not Shipped
38,2021-12-23 22:12,2021-12-25 08:17,Shipped
39,2021-08-08 17:06,2021-08-09 08:59,Shipped
40,2023-05-13 01:49,2023-05-14 03:11,Returned
41,2021-09-14 07:54,2021-09-23 00:58,Returned
42,2021-03-14 15:57,2021-03-24 01:04,Not Shipped
43,2020-05-11 22:30,2020-05-15 10:36,Shipped
44,2023-02-20 10:39,2023-03-02 10:03,Returned
45,2022-02-02 00:05,2022-02-10 10:28,Returned
46,2022-08-14 14:12,2022-08-24 13:22,Returned
47,2021-09-15 22:44,2021-09-19 03:44,Not Shipped
48,2021-11-23 11:30,2021-11-29 13:33,Not Shipped
49,2020-10-07 15:56,2020-10-11 18:53,Shipped
50,2022-06-27 00:52,2022-07-01 13:23,Returned
51,2022-07-25 07:10,2022-08-04 10:48,Returned
52,2022-12-22 07:54,2022-12-23 11:30,Not Shipped
53,2021-12-02 14:58,2021-12-03 12:55,Returned
54,2020-09-25 02:31,2020-09-28 06:19,Shipped
55,2022-03-21 04:29,2022-03-27 06:46,Shipped
56,2023-01-10 19:08,2023-01-13 02:01,Not Shipped
57,2021-08-07 05:05,2021-08-16 14:28,Returned
58,2021-05-25 03:40,2021-05-27 18:52,Returned
59,2020-10-29 01:03,2020-11-03 05:08,Not Shipped
60,2020-01-31 16:12,2020-02-05 20:51,Returned
61,2023-08-03 15:56,2023-08-10 05:13,Returned
62,2021-10-02 17:13,2021-10-09 16:39,Not Shipped
63,2021-08-31 15:28,2021-09-05 00:11,Not Shipped
64,2020-06-23 23:35,2020-06-27 08:37,Returned
65,2020-12-22 00:38,2020-12-23 14:36,Not Shipped
66,2020-05-25 03:00,2020-05-26 02:24,Returned
67,2021-06-02 17:22,2021-06-05 18:22,Not Shipped
68,2022-02-17 15:02,2022-02-23 14:29,Not Shipped
69,2023-04-08 12:11,2023-04-11 09:36,Returned
70,2021-08-01 00:22,2021-08-10 16:53,Shipped
71,2020-08-24 00:06,2020-08-30 16:55,Not Shipped
72,2020-05-05 05:16,2020-05-12 10:48,Returned
73,2020-05-08 08:35,2020-05-18 20:04,Returned
74,2023-04-10 19:28,2023-04-13 13:40,Shipped
75,2020-05-31 05:49,2020-06-05 19:06,Not Shipped
76,2022-03-24 08:03,2022-03-29 10:08,Not Shipped
77,2021-07-19 16:02,2021-07-27 12:26,Returned
78,2022-05-07 13:10,2022-05-12 09:03,Returned
79,2022-08-11 20:18,2022-08-15 07:53,Shipped
80,2021-07-09 11:36,2021-07-11 17:13,Shipped
81,2022-11-04 14:42,2022-11-13 15:43,Returned
82,2022-09-19 22:55,2022-09-28 05:43,Shipped
83,2021-09-19 12:51,2021-09-26 15:29,Shipped
84,2023-02-07 14:20,2023-02-16 01:50,Not Shipped
85,2021-12-19 14:41,2021-12-22 12:06,Returned
86,2021-05-12 04:48,2021-05-17 19:57,Returned
87,2021-10-07 17:15,2021-10-10 07:59,Returned
88,2021-04-12 18:14,2021-04-19 16:48,Returned
89,2020-01-11 03:57,2020-01-13 01:52,Shipped
90,2020-04-22 09:25,2020-05-01 04:13,Shipped
91,2023-01-10 10:27,2023-01-18 07:56,Returned
92,2022-08-20 07:24,2022-08-21 13:36,Shipped
93,2021-07-12 23:48,2021-07-13 23:28,Not Shipped
94,2021-11-13 02:47,2021-11-17 12:49,Shipped
95,2020-08-22 08:00,2020-08-30 17:21,Not Shipped
96,2022-08-05 07:39,2022-08-11 01:20,Shipped
97,2021-08-10 01:29,2021-08-17 18:07,Shipped
98,2022-01-26 00:56,2022-01-31 09:31,Shipped
99,2020-01-28 21:44,2020-02-05 16:02,Shipped
